Group Size,Blackboard Size,Time when Completed,Computational Cost
8,5,3747.75000000,0.00826224
8,5,6829.37500000,0.01505594
8,5,1259.62500000,0.00277695
8,5,15100.37500000,0.03329007
8,5,8413.00000000,0.01854718
8,5,597.50000000,0.00131724
8,4,3011.12500000,0.00663828
8,4,195.50000000,0.00043100
8,4,7575.37500000,0.01670056
8,4,1883.00000000,0.00415123
8,4,6253.25000000,0.01378582
8,4,6413.25000000,0.01413856
8,4,15562.62500000,0.03430914
8,4,4673.12500000,0.01030230
8,4,16727.00000000,0.03687610
8,4,7124.50000000,0.01570657
8,3,8885.50000000,0.01958884
8,3,22380.12500000,0.04933890
8,3,2548.12500000,0.00561756
8,3,21115.12500000,0.04655010
8,3,12097.50000000,0.02666997
8,3,342.87500000,0.00075590
8,3,7809.62500000,0.01721699
8,3,13393.12500000,0.02952629
8,3,6220.87500000,0.01371445
8,3,453.25000000,0.00099923
8,2,20059.87500000,0.04422371
8,2,8234.50000000,0.01815366
8,2,16478.62500000,0.03632854
8,2,28381.12500000,0.06256862
8,2,15956.62500000,0.03517774
8,2,20530.25000000,0.04526069
8,2,33425.37500000,0.07368910
8,2,1952.25000000,0.00430390
8,2,7246.87500000,0.01597636
8,2,653.87500000,0.00144152
8,1,17325.12500000,0.03819472
8,1,71641.75000000,0.15794037
8,1,27494.37500000,0.06061370
8,1,42114.12500000,0.09284419
8,1,69935.75000000,0.15417934
8,1,38584.25000000,0.08506228
8,1,5285.75000000,0.01165289
8,1,6621.50000000,0.01459766
8,1,114761.75000000,0.25300209
8,1,41041.50000000,0.09047950
7,7,606.85714286,0.00117063
7,7,5851.00000000,0.01128665
7,7,6905.71428571,0.01332121
7,7,4631.00000000,0.00893326
7,7,1835.14285714,0.00354001
7,7,192.42857143,0.00037120
7,7,4156.71428572,0.00801835
7,7,1160.14285714,0.00223793
7,7,11137.85714285,0.02148506
7,7,13041.42857141,0.02515708
7,6,2335.14285714,0.00450452
7,6,6000.14285714,0.01157435
7,6,7238.71428571,0.01396357
7,6,3655.85714286,0.00705219
7,6,135.57142857,0.00026152
7,6,7077.85714285,0.01365327
7,6,20817.57142860,0.04015735
7,6,118.57142857,0.00022873
7,6,10702.71428570,0.02064567
7,6,1626.71428571,0.00313795
7,5,2567.57142857,0.00495288
7,5,3161.14285714,0.00609788
7,5,12546.42857142,0.02420222
7,5,3301.85714286,0.00636932
7,5,1211.00000000,0.00233603
7,5,7134.57142857,0.01376268
7,5,639.57142857,0.00123374
7,5,11876.71428570,0.02291033
7,5,2254.28571429,0.00434854
7,5,21461.00000004,0.04139853
7,4,15991.99999998,0.03084877
7,4,13961.42857141,0.02693177
7,4,4705.00000000,0.00907600
7,4,94.42857143,0.00018215
7,4,3604.71428572,0.00695354
7,4,2727.42857143,0.00526124
7,4,2235.57142857,0.00431244
7,4,1440.42857143,0.00277860
7,4,19002.28571429,0.03665564
7,4,1850.85714286,0.00357033
7,3,18715.42857143,0.03610229
7,3,9034.57142856,0.01742780
7,3,2360.00000000,0.00455247
7,3,14195.71428570,0.02738371
7,3,36622.57142867,0.07064539
7,3,9054.85714285,0.01746693
7,3,14495.57142855,0.02796214
7,3,288.00000000,0.00055556
7,3,1221.42857143,0.00235615
7,3,1601.28571429,0.00308890
7,2,10548.14285713,0.02034750
7,2,13051.14285713,0.02517582
7,2,4899.28571429,0.00945078
7,2,1876.57142857,0.00361993
7,2,45186.85714284,0.08716601
7,2,32767.57142873,0.06320905
7,2,15950.42857141,0.03076857
7,2,29499.71428584,0.05690531
7,2,14216.85714284,0.02742449
7,2,93018.85714214,0.17943452
7,1,100964.71428488,0.19476218
7,1,31748.28571443,0.06124284
7,1,14250.42857141,0.02748925
7,1,13607.99999999,0.02625000
7,1,58602.99999978,0.11304591
7,1,74354.71428527,0.14343116
7,1,141851.85714253,0.27363398
7,1,8188.28571428,0.01579530
7,1,134310.71428473,0.25908703
7,1,193212.71428987,0.37270971
6,7,732.16666667,0.00121059
6,7,6316.00000000,0.01044312
6,7,7637.50000000,0.01262814
6,7,20284.33333334,0.03353891
6,7,3302.50000000,0.00546048
6,7,16866.16666665,0.02788718
6,7,8699.16666667,0.01438354
6,7,6607.50000000,0.01092510
6,7,300.66666667,0.00049713
6,7,4816.66666667,0.00796407
6,6,14484.66666665,0.02394951
6,6,1631.16666667,0.00269703
6,6,10173.66666667,0.01682154
6,6,7741.16666667,0.01279955
6,6,30987.33333342,0.05123567
6,6,2901.33333333,0.00479718
6,6,237.33333333,0.00039242
6,6,3341.33333333,0.00552469
6,6,681.16666667,0.00112627
6,6,3096.83333333,0.00512043
6,5,21965.66666668,0.03631889
6,5,8128.33333334,0.01343970
6,5,6714.83333334,0.01110257
6,5,3936.66666667,0.00650904
6,5,3171.16666667,0.00524333
6,5,14856.33333332,0.02456404
