m,b,t,c
10,5,11638.02,0.0320712633
10,6,8758.130000000001,0.02413505827
10,7,11106.78,0.0306073082
10,8,7862.74,0.0216676035
10,9,13687.77,0.0377198249
10,10,5053.57,0.013926284199999996
10,11,5837.21,0.016085785900000003
10,12,7179.860000000001,0.0197857693
10,13,6702.619999999998,0.0184706239
10,14,7185.76,0.0198020281
11,1,7553.636362999998,0.022897376499999997
11,2,6507.0454541,0.019724840100000002
11,3,8238.02727231,0.024971974299999998
11,4,6661.954545830001,0.020194416899999998
11,5,8699.52727214,0.0263709217
11,6,10141.081818545,0.0307407132
11,7,6275.500000710001,0.0190229551
11,8,8828.509090950001,0.0267619047
11,9,4775.345454885,0.0144755292
11,10,3740.4999999700003,0.0113385968
11,11,12697.854544800002,0.03849107150000001
11,12,7605.69999988,0.023055197300000004
11,13,7638.018182100001,0.023153163499999997
11,14,6573.88181778,0.0199274415
12,1,5833.94999933,0.019292162800000005
12,2,4890.583333300001,0.0161725639
12,3,3872.2333334299997,0.012805004500000003
12,4,7004.5416669999995,0.023163167
12,5,6493.08333333,0.0214718366
12,6,3610.0333332299997,0.0119379408
12,7,8763.5583333,0.028980021099999996
12,8,8565.3499996,0.0283245701
12,9,4776.066666600001,0.015793871100000002
12,10,9698.716666000002,0.0320724758
12,11,6154.75833336,0.020353036799999998
12,12,5813.7250003,0.0192252811
12,13,4387.141666299999,0.0145077435
12,14,5466.741666799999,0.0180778495
13,1,4458.907692317999,0.0159738205
13,2,9707.684616080001,0.0347773092
13,3,3291.6846153799997,0.0117923004
13,4,5071.00769175,0.018166639199999998
13,5,3827.3615380399997,0.0137113369
13,6,6902.69230728,0.024728560400000002
13,7,4809.1538464099995,0.0172285603
13,8,4665.830768709999,0.016715112299999998
13,9,5706.58461539,0.0204435626
13,10,5568.59230737,0.019949211799999998
13,11,6911.7846159499995,0.0247611332
13,12,5615.269230520001,0.0201164297
13,13,3645.3999997,0.013059468800000001
13,14,9594.823076962,0.0343729883
14,1,5960.921429060001,0.022997382
14,2,5504.814285439999,0.0212377095
14,3,7677.9071438,0.029621555200000003
14,4,2798.16428568,0.0107953868
14,5,5841.592857580001,0.022537009399999995
14,6,6838.75000055,0.026384066500000004
14,7,3182.82142856,0.012279403699999998
14,8,3301.6571427229997,0.012737874799999998
14,9,7967.1285706,0.030737378699999995
14,10,5061.92857106,0.0195290454
14,11,4383.44999983,0.0169114583
14,12,4826.97857104,0.018622602499999998
14,13,4468.628571359999,0.0172400793
14,14,6149.55000037,0.0237251156
